%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582820975600893226,594,1582820975597059011,,42.337411905,-71.0870998617,1.891,328063.883396,4689349.35539,5,19,T
1582820976405039887,595,1582820976404236078,,42.337412115,-71.0870999333,1.905,328063.878064,4689349.37885,5,19,T
1582820977198313664,596,1582820977194741964,,42.337412135,-71.0870999333,1.912,328063.878119,4689349.38108,5,19,T
1582820977999006553,597,1582820977995009899,,42.3374119867,-71.0870996783,1.872,328063.898723,4689349.36409,5,19,T
1582820978799505889,598,1582820978795995950,,42.3374120017,-71.0870997533,1.889,328063.892585,4689349.36591,5,19,T
1582820979601429273,599,1582820979597629070,,42.33741199,-71.0870997633,1.884,328063.891729,4689349.36463,5,19,T
1582820980398090465,600,1582820980394406080,,42.3374119917,-71.0870997383,1.884,328063.893793,4689349.36477,5,19,T
1582820981194828955,601,1582820981194211959,,42.3374119767,-71.08709982,1.891,328063.887024,4689349.36326,5,19,T
1582820981995809898,602,1582820981994328975,,42.3374120167,-71.08709984,1.889,328063.885486,4689349.36775,5,19,T
1582820982800702956,603,1582820982797138929,,42.3374120033,-71.0870998083,1.89,328063.888058,4689349.3662,5,19,T
1582820983601839213,604,1582820983598176002,,42.3374120217,-71.0870998167,1.892,328063.887421,4689349.36825,5,19,T
1582820984404520565,605,1582820984400753021,,42.3374119583,-71.0870998633,1.895,328063.883404,4689349.36132,5,19,T
1582820985202404378,606,1582820985198738098,,42.3374120783,-71.087099745,1.889,328063.89348,4689349.3744,5,19,T
1582820985998251161,607,1582820985997116088,,42.3374121117,-71.08709973,1.887,328063.894807,4689349.37807,5,19,T
1582820986802428999,608,1582820986798963069,,42.3374121,-71.087099725,1.889,328063.895187,4689349.37677,5,19,T
1582820987802643209,609,1582820987798985958,,42.3374120083,-71.087099745,1.893,328063.893289,4689349.36663,5,19,T
1582820988810344297,610,1582820988801836967,,42.3374120017,-71.087099695,1.889,328063.89739,4689349.36579,5,19,T
1582820989800740452,611,1582820989797117948,,42.3374118717,-71.0870997467,1.882,328063.89278,4689349.35146,5,19,T
1582820990902163723,612,1582820990898689985,,42.3374101067,-71.08710573,2.276,328063.395039,4689349.16757,5,19,T
1582820991900387590,613,1582820991896750926,,42.337410605,-71.0871069383,2.281,328063.29685,4689349.22535,5,19,T
1582820992904338338,614,1582820992900840997,,42.337410355,-71.0871085483,2.24,328063.163531,4689349.20084,5,19,T
1582820993800623353,615,1582820993797033071,,42.3374097533,-71.087110205,2.261,328063.025408,4689349.13738,5,19,T
1582820994898492205,616,1582820994894881010,,42.3374094183,-71.0871103083,2.337,328063.015982,4689349.10039,5,19,T
1582820995900550226,617,1582820995896773099,,42.337409385,-71.087109155,2.333,328063.110908,4689349.09436,5,19,T
1582820996899338688,618,1582820996894305944,,42.3374097333,-71.0871076633,2.24,328063.234746,4689349.13002,5,19,T
1582820997898878878,619,1582820997895376920,,42.33740968,-71.0871087517,2.224,328063.14494,4689349.1263,5,19,T
1582820998998259389,620,1582820998994777917,,42.33741043,-71.0871106767,2.252,328062.988395,4689349.21347,5,19,T
1582820999998628879,621,1582820999995065927,,42.33741207,-71.0871122233,2.137,328062.865444,4689349.39871,5,19,T
1582821000901794155,622,1582821000898149013,,42.3374137367,-71.0871120333,1.963,328062.88564,4689349.5834,1,19,T
1582821001893587972,623,1582821001892571926,,42.3374142533,-71.0871121917,1.953,328062.874004,4689349.64109,5,19,T
1582821002899927141,624,1582821002896352052,,42.3374144283,-71.0871118567,1.914,328062.902079,4689349.65984,5,19,T
1582821004001933769,625,1582821003998260021,,42.337413675,-71.0871109767,1.814,328062.972524,4689349.57441,5,19,T
1582821004800133906,626,1582821004796350955,,42.3374131783,-71.08711031,1.731,328063.026093,4689349.51791,5,19,T
1582821006196923965,627,1582821006195837020,,42.3374129833,-71.0871096567,1.69,328063.079385,4689349.49494,1,19,T
1582821007000333317,628,1582821006996702909,,42.3374130033,-71.0871096083,1.656,328063.083422,4689349.49706,1,19,T
1582821007800658560,629,1582821007796863079,,42.3374130883,-71.0871094883,1.662,328063.09354,4689349.50626,1,19,T
1582821009304187815,630,1582821009300753116,,42.33737252,-71.0871922783,15.406,328056.16241,4689345.16886,5,19,T
1582821010201365696,631,1582821010197766065,,42.3373723767,-71.0871931567,15.44,328056.089659,4689345.15472,5,19,T
1582821011099601470,632,1582821011095762014,,42.3373721817,-71.0871947117,15.44,328055.96102,4689345.13621,5,19,T
1582821012000065187,633,1582821011996136903,,42.337371255,-71.0871966983,15.456,328055.794825,4689345.03733,5,19,T
1582821012901037955,634,1582821012897262096,,42.3373700333,-71.0871997183,15.421,328055.542696,4689344.90778,5,19,T
1582821013799066911,635,1582821013795392036,,42.3373691333,-71.0872022617,15.312,328055.330714,4689344.81299,5,19,T
1582821014701794637,636,1582821014698165893,,42.3373685717,-71.0872073233,15.612,328054.912183,4689344.76085,5,19,T
1582821015600751266,637,1582821015597063064,,42.3373685,-71.0872106,15.743,328054.642043,4689344.75952,5,19,T
1582821016499753130,638,1582821016496179103,,42.3373682417,-71.08721333,15.941,328054.416431,4689344.73636,5,19,T
1582821017400876656,639,1582821017397203922,,42.3373675033,-71.08721662,16.176,328054.143375,4689344.66102,5,19,T
1582821018300049861,640,1582821018296288967,,42.3373672933,-71.0872190333,16.475,328053.943983,4689344.64258,5,19,T
1582821019195042112,641,1582821019194567918,,42.337367395,-71.08722097,16.753,328053.78471,4689344.65779,5,19,T
1582821020100087576,642,1582821020096268892,,42.3373678067,-71.0872221833,16.951,328053.685873,4689344.70595,5,19,T
1582821020999616513,643,1582821020995999097,,42.3373685317,-71.0872226233,17.084,328053.6516,4689344.78735,5,19,T
1582821021902496607,644,1582821021898957967,,42.337369275,-71.0872233117,17.252,328053.596919,4689344.87128,5,19,T
1582821022801426041,645,1582821022797714948,,42.3373702883,-71.0872235467,17.387,328053.58032,4689344.98428,5,19,T
1582821023701733841,646,1582821023698209047,,42.3373714117,-71.08722347,17.494,328053.589698,4689345.10886,5,19,T
1582821024610419644,647,1582821024598809003,,42.33737228,-71.0872232867,17.591,328053.607169,4689345.20492,5,19,T
1582821025511615618,648,1582821025499860048,,42.3373730017,-71.0872230733,17.707,328053.626711,4689345.28462,5,19,T
1582821026399606113,649,1582821026399131059,,42.337373695,-71.087222505,17.78,328053.675422,4689345.36046,5,19,T
1582821027301000418,650,1582821027297333955,,42.3373749567,-71.0872213283,17.741,328053.775799,4689345.49818,5,19,T
1582821028199220817,651,1582821028195678949,,42.3373760217,-71.0872202467,17.777,328053.867814,4689345.61425,5,19,T
1582821029099311254,652,1582821029095710992,,42.3373768867,-71.0872191917,17.842,328053.957087,4689345.70817,5,19,T
1582821030001789150,653,1582821029998102903,,42.3373773733,-71.0872183667,17.903,328054.02638,4689345.76054,5,19,T
1582821030901290114,654,1582821030897713899,,42.3373085817,-71.0870014083,12.732,328071.712771,4689337.68305,5,19,T
1582821031901673586,655,1582821031898142099,,42.33730858,-71.086998655,12.438,328071.939597,4689337.6773,5,19,T
1582821032901396345,656,1582821032897420883,,42.337307255,-71.0869972117,12.587,328072.054894,4689337.52725,5,19,T
1582821034001285425,657,1582821033997700929,,42.3373065067,-71.08699575,12.545,328072.173272,4689337.4412,5,19,T
1582821035102978305,658,1582821035099405050,,42.337305815,-71.0869929933,12.442,328072.398493,4689337.35882,5,19,T
1582821036212840448,659,1582821036200871944,,42.33730526,-71.0869907333,12.316,328072.583168,4689337.29262,5,19,T
1582821037302872651,660,1582821037299191951,,42.3373046333,-71.0869884617,12.146,328072.768609,4689337.21844,5,19,T
1582821038302961851,661,1582821038299330949,,42.3373032333,-71.0869868517,12.236,328072.897432,4689337.05973,5,19,T
1582821039300632281,662,1582821039296967983,,42.33730127,-71.08698582,12.309,328072.977074,4689336.83963,1,19,T
1582821040300317799,663,1582821040296777009,,42.3372990033,-71.0869853933,12.449,328073.006047,4689336.58707,1,19,T
1582821041302106637,664,1582821041298266887,,42.3372967833,-71.08698481,12.67,328073.048054,4689336.33938,1,19,T
1582821042299283429,665,1582821042295502901,,42.3372949433,-71.086983715,13.0,328073.13325,4689336.13284,1,19,T
1582821043199987226,666,1582821043196149110,,42.337292365,-71.086983925,13.293,328073.108923,4689335.84696,5,19,T
1582821044099200933,667,1582821044095810890,,42.3372928983,-71.0869807133,12.52,328073.374966,4689335.89969,5,19,T
1582821044998691781,668,1582821044994126081,,42.3372940333,-71.086976725,11.581,328073.706634,4689336.01766,5,19,T
1582821045898883344,669,1582821045895376920,,42.3372937767,-71.0869750433,11.202,328073.844477,4689335.98576,5,19,T
1582821046798739244,670,1582821046794931888,,42.3372933617,-71.0869719833,11.083,328074.095441,4689335.93349,5,19,T
1582821047697756245,671,1582821047696660041,,42.33729293,-71.086969285,10.892,328074.316564,4689335.8801,5,19,T
1582821048499104426,672,1582821048495513916,,42.3372920117,-71.0869675017,10.839,328074.46098,4689335.77452,5,19,T
1582821049399063913,673,1582821049395457029,,42.3372912283,-71.0869655233,10.869,328074.621828,4689335.68354,5,19,T
1582821050200884883,674,1582821050197016000,,42.3372900133,-71.0869640933,10.921,328074.736326,4689335.54573,5,19,T
1582821051200686006,675,1582821051197065114,,42.3372892967,-71.0869621233,10.92,328074.896669,4689335.46217,5,19,T
1582821052200703578,676,1582821052196934938,,42.3372886967,-71.08696071,10.7,328075.01147,4689335.39268,5,19,T
1582821054095014668,677,1582821054094528913,,42.3371886683,-71.086771385,3.556,328090.336243,4689323.90252,5,19,T
1582821055200507497,678,1582821055196791887,,42.33718766,-71.0867690833,3.6,328090.523116,4689323.7859,5,19,T
1582821056300476509,679,1582821056296767950,,42.3371866317,-71.08676711,3.551,328090.682885,4689323.66772,5,19,T
1582821057402323944,680,1582821057398627996,,42.3371858567,-71.0867650033,3.517,328090.854329,4689323.57741,5,19,T
1582821058510965742,681,1582821058499454975,,42.3371857133,-71.08676242,3.416,328091.066764,4689323.55627,5,19,T
1582821059599832315,682,1582821059596187114,,42.337185625,-71.0867601333,3.395,328091.254909,4689323.54183,5,19,T
1582821060693493534,683,1582821060692723035,,42.33718589,-71.0867576817,3.284,328091.457609,4689323.5663,5,19,T
1582821061800447047,684,1582821061796646118,,42.3371864683,-71.0867553183,3.219,328091.653886,4689323.62575,5,19,T
1582821062900971099,685,1582821062897191047,,42.3371868733,-71.0867534283,3.169,328091.810696,4689323.6669,5,19,T
1582821064000007143,686,1582821063996113061,,42.3371876917,-71.0867512433,3.155,328091.992935,4689323.75335,5,19,T
1582821065100276537,687,1582821065096523046,,42.3371887533,-71.0867489967,3.081,328092.180918,4689323.8667,5,19,T
1582821066199493196,688,1582821066195735931,,42.3371897283,-71.0867471467,3.038,328092.335985,4689323.97122,5,19,T
1582821067300023701,689,1582821067296199083,,42.3371910017,-71.0867452533,2.983,328092.495436,4689324.10879,5,19,T
1582821068400387493,690,1582821068396970987,,42.3371922517,-71.086743175,2.922,328092.670064,4689324.24339,5,19,T
1582821069500124966,691,1582821069496346950,,42.3371934083,-71.086741245,2.854,328092.832217,4689324.36793,5,19,T
1582821070601037888,692,1582821070597615957,,42.3371945133,-71.0867391183,2.83,328093.010432,4689324.48633,5,19,T
1582821071700928544,693,1582821071697303056,,42.337195225,-71.08673761,2.91,328093.136634,4689324.56231,5,19,T
1582821072800246582,694,1582821072796722888,,42.3371961567,-71.0867357,2.858,328093.296526,4689324.6619,5,19,T
1582821073901934840,695,1582821073898402929,,42.3371975333,-71.086733175,2.764,328093.508297,4689324.80966,5,19,T
1582821075001183070,696,1582821074997437953,,42.3371986833,-71.0867310667,2.723,328093.685124,4689324.9331,5,19,T
1582821076099035298,697,1582821076095340013,,42.3371998017,-71.0867288833,2.649,328093.868044,4689325.05287,5,19,T
1582821077201201319,698,1582821077197633981,,42.3372011333,-71.0867264217,2.531,328094.074474,4689325.19576,5,19,T
1582821078300669086,699,1582821078296966075,,42.3372027017,-71.086724285,2.384,328094.254775,4689325.36559,5,19,T
1582821079399881781,700,1582821079395972013,,42.3373127533,-71.0865389033,3.193,328109.827137,4689337.21123,5,19,T
1582821080499394635,701,1582821080495485067,,42.3373171067,-71.0865346217,2.15,328110.191739,4689337.68597,5,19,T
1582821081601473354,702,1582821081596647024,,42.3373183167,-71.0865336167,2.177,328110.277832,4689337.8183,5,19,T
1582821082696970663,703,1582821082696043968,,42.3373204533,-71.0865322717,1.922,328110.39446,4689338.05285,5,19,T
1582821083800720107,704,1582821083796889066,,42.3373208433,-71.086532495,2.341,328110.377124,4689338.0966,5,19,T
1582821084902299923,705,1582821084898746013,,42.3373222683,-71.08653239,2.448,328110.389657,4689338.25463,5,19,T
1582821086001426108,706,1582821085996793985,,42.3373231633,-71.0865328983,2.693,328110.350217,4689338.35504,5,19,T
1582821087099846584,707,1582821087096026897,,42.3373250117,-71.0865327867,2.558,328110.364453,4689338.56006,5,19,T
1582821088201814271,708,1582821088198390007,,42.3373268717,-71.0865328367,2.471,328110.365401,4689338.7667,5,19,T
1582821089301626133,709,1582821089297729969,,42.3373283083,-71.0865334083,2.509,328110.32222,4689338.92738,5,19,T
1582821090403909170,710,1582821090400068998,,42.33732961,-71.0865345133,2.608,328110.234732,4689339.07416,5,19,T
1582821091501732440,711,1582821091498157024,,42.33733106,-71.0865355383,2.663,328110.154239,4689339.23724,5,19,T
1582821092600994315,712,1582821092597183942,,42.3373317967,-71.0865372533,2.833,328110.014958,4689339.32251,5,19,T
1582821093707452380,713,1582821093701339006,,42.3373330467,-71.0865381933,2.922,328109.940923,4689339.46321,5,19,T
1582821094800252826,714,1582821094796601057,,42.33733468,-71.0865393217,2.871,328109.852417,4689339.64686,5,19,T
1582821095900673691,715,1582821095897109031,,42.3373361183,-71.0865405533,2.835,328109.754866,4689339.80907,5,19,T
