%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582824704031715621,1932,1582824704027852058,,42.3374091467,-71.087089125,5.848,328064.760406,4689349.02739,5,19,T
1582824704828467015,1933,1582824704827152967,,42.33740921,-71.0870884833,5.766,328064.813442,4689349.03312,5,19,T
1582824705632481438,1934,1582824705628520011,,42.3374092067,-71.0870879367,5.698,328064.858469,4689349.03165,5,19,T
1582824706422430583,1935,1582824706422216892,,42.3374092417,-71.0870874283,5.63,328064.900443,4689349.03451,5,19,T
1582824707230149163,1936,1582824707226435899,,42.3374092717,-71.08708694,5.563,328064.940756,4689349.03685,5,19,T
1582824708029797386,1937,1582824708026321887,,42.3374092617,-71.0870864967,5.498,328064.977252,4689349.03484,5,19,T
1582824708830067565,1938,1582824708826524019,,42.3374091767,-71.0870862067,5.454,328065.000912,4689349.02482,5,19,T
1582824709631775140,1939,1582824709628077030,,42.3374091967,-71.0870856967,5.389,328065.042982,4689349.02601,5,19,T
1582824710433434290,1940,1582824710428056955,,42.3373639017,-71.0871570417,1.548,328059.041854,4689344.14061,5,19,T
1582824711329064982,1941,1582824711325223922,,42.337364135,-71.0871569833,1.508,328059.047296,4689344.1664,5,19,T
1582824712228019003,1942,1582824712224348068,,42.337363665,-71.0871579233,1.679,328058.968574,4689344.11611,5,19,T
1582824713029631126,1943,1582824713025635957,,42.337364595,-71.0871568633,1.511,328059.058436,4689344.21724,5,19,T
1582824713830108780,1944,1582824713826405048,,42.3373647367,-71.087156965,1.466,328059.050446,4689344.23317,5,19,T
1582824714729149615,1945,1582824714725585937,,42.3373648683,-71.0871570883,1.449,328059.040644,4689344.24804,5,19,T
1582824715629332046,1946,1582824715625732898,,42.3373650583,-71.0871571383,1.411,328059.037043,4689344.26924,5,19,T
1582824716530455390,1947,1582824716526660919,,42.33736533,-71.087157005,1.378,328059.048768,4689344.29914,5,19,T
1582824717429775073,1948,1582824717424891948,,42.3373654967,-71.087157115,1.359,328059.04016,4689344.31787,5,19,T
1582824718333122196,1949,1582824718326525926,,42.337365735,-71.0871571317,1.331,328059.039437,4689344.34437,5,19,T
1582824719230547234,1950,1582824719227039098,,42.337366025,-71.0871569483,1.289,328059.055331,4689344.3762,5,19,T
1582824720125175474,1951,1582824720124066114,,42.33736622,-71.0871569983,1.265,328059.051743,4689344.39795,5,19,T
1582824721232284106,1952,1582824721231220960,,42.33736647,-71.0871569567,1.246,328059.055857,4689344.42563,5,19,T
1582824722330414225,1953,1582824722325983047,,42.33736663,-71.0871571083,1.248,328059.043798,4689344.4437,5,19,T
1582824723431929602,1954,1582824723428409099,,42.3373668467,-71.0871570667,1.229,328059.047821,4689344.46768,5,19,T
1582824724530153079,1955,1582824724526624917,,42.3373670967,-71.0871571433,1.212,328059.042187,4689344.4956,5,19,T
1582824725429589269,1956,1582824725426080942,,42.3373673917,-71.08715704,1.19,328059.051504,4689344.52814,5,19,T
1582824727230486705,1957,1582824727227031946,,42.3373764783,-71.0871497683,0.595,328059.675338,4689345.52244,5,19,T
1582824728323754135,1958,1582824728322978019,,42.3373766333,-71.0871497283,0.584,328059.679056,4689345.53958,5,19,T
1582824729432287371,1959,1582824729426481962,,42.3373767433,-71.0871495917,0.565,328059.690615,4689345.55151,5,19,T
