%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582896826690509280,3107,1582896826684917926,,42.3374834533,-71.0869273217,7.294,328078.292889,4689356.95142,5,19,T
1582896826891750526,3108,1582896826888814926,,42.3374832483,-71.08692714,7.252,328078.307296,4689356.92829,5,19,T
1582896827076273789,3109,1582896827075490951,,42.33748281,-71.08692708,7.302,328078.311045,4689356.87949,5,19,T
1582896827296831023,3110,1582896827284111976,,42.3374826633,-71.0869268783,7.403,328078.327259,4689356.8628,5,19,T
1582896827482001062,3111,1582896827480662107,,42.3374826467,-71.08692679,7.372,328078.334491,4689356.86077,5,19,T
1582896827685687036,3112,1582896827685149908,,42.3374835967,-71.08692613,7.379,328078.391453,4689356.96493,5,19,T
1582896827885729874,3113,1582896827884830951,,42.337483945,-71.086926215,7.341,328078.3854,4689357.00378,5,19,T
1582896828090383261,3114,1582896828089477062,,42.3374847117,-71.0869254433,7.475,328078.451062,4689357.08735,5,19,T
1582896828281292109,3115,1582896828280355930,,42.3374847517,-71.0869253633,7.486,328078.457762,4689357.09163,5,19,T
1582896828488860804,3116,1582896828487930059,,42.33748514,-71.0869251267,7.509,328078.478318,4689357.13427,5,19,T
1582896828691471790,3117,1582896828690907001,,42.337485355,-71.0869252267,7.468,328078.470665,4689357.15835,5,19,T
1582896828878666912,3118,1582896828877700090,,42.337484995,-71.08692668,7.512,328078.349953,4689357.12131,5,19,T
1582896829088075041,3119,1582896829081080913,,42.3374847333,-71.0869280817,7.58,328078.233765,4689357.09509,5,19,T
1582896829294162823,3120,1582896829290643930,,42.33748439,-71.0869290017,7.602,328078.157037,4689357.05882,5,19,T
1582896829479759968,3121,1582896829478770017,,42.337483745,-71.086929785,7.712,328078.090745,4689356.98879,5,19,T
1582896829693489195,3122,1582896829692091941,,42.3374834283,-71.0869301433,7.865,328078.060361,4689356.95435,5,19,T
1582896829897447725,3123,1582896829893646001,,42.337483375,-71.0869296467,7.892,328078.101133,4689356.94742,5,19,T
1582896830116024184,3124,1582896830103413105,,42.3374827567,-71.0869305983,7.873,328078.021046,4689356.88068,5,19,T
1582896830293638047,3125,1582896830292450904,,42.337482475,-71.0869315317,7.965,328077.943387,4689356.85129,5,19,T
1582896830500580227,3126,1582896830488750934,,42.337482005,-71.0869333467,7.88,328077.79258,4689356.80277,5,19,T
1582896830702767588,3127,1582896830690277099,,42.3374824717,-71.0869346517,8.208,328077.686341,4689356.85723,5,19,T
1582896830896342449,3128,1582896830892173051,,42.3374830717,-71.0869360117,8.053,328077.575934,4689356.92661,5,19,T
1582896831092268222,3129,1582896831085928916,,42.3374839283,-71.08693802,8.032,328077.412814,4689357.02579,5,19,T
1582896831289293826,3130,1582896831287698984,,42.337484625,-71.0869397917,8.049,328077.268756,4689357.10674,5,19,T
1582896831493955834,3131,1582896831493273019,,42.33748511,-71.0869420383,8.088,328077.084989,4689357.16513,5,19,T
1582896831696846099,3132,1582896831694843053,,42.3374857583,-71.0869439517,8.077,328076.929129,4689357.241,5,19,T
1582896831884791743,3133,1582896831884181976,,42.3374860883,-71.086946175,8.128,328076.746862,4689357.28213,5,19,T
1582896832109026386,3134,1582896832096556901,,42.3374864233,-71.0869482933,8.152,328076.573258,4689357.32362,5,19,T
1582896832311994109,3135,1582896832299536943,,42.337487175,-71.0869499133,8.145,328076.441845,4689357.41036,5,19,T
1582896832508205316,3136,1582896832495978116,,42.3374879133,-71.0869521633,8.213,328076.258494,4689357.49689,5,19,T
1582896832685336669,3137,1582896832684637069,,42.33748854,-71.0869538917,8.221,328076.117815,4689357.56998,5,19,T
1582896832894831561,3138,1582896832891242980,,42.33748923,-71.0869553683,8.257,328075.998042,4689357.64958,5,19,T
1582896833123462007,3139,1582896833096082925,,42.3374899283,-71.086956915,8.29,328075.872525,4689357.73025,5,19,T
1582896833301674697,3140,1582896833289633035,,42.337490535,-71.086958715,8.265,328075.725888,4689357.80126,5,19,T
1582896833505704220,3141,1582896833493136882,,42.3374912583,-71.0869598883,8.423,328075.631195,4689357.88395,5,19,T
1582896833693640234,3142,1582896833692559003,,42.3374916967,-71.08696118,8.391,328075.525978,4689357.93524,5,19,T
1582896833894791354,3143,1582896833890964984,,42.337492225,-71.0869631033,8.255,328075.368966,4689357.99779,5,19,T
1582896834102516685,3144,1582896834098774909,,42.33749284,-71.0869645267,8.448,328075.253383,4689358.06896,5,19,T
1582896834310747232,3145,1582896834298448085,,42.33749321,-71.0869659,8.425,328075.141251,4689358.11282,5,19,T
1582896834494410685,3146,1582896834490879058,,42.3374932433,-71.086968135,8.265,328074.957214,4689358.12104,5,19,T
1582896834680263009,3147,1582896834679466962,,42.3374935483,-71.0869694933,8.276,328074.846141,4689358.15766,5,19,T
1582896834899127034,3148,1582896834886679887,,42.3374939067,-71.0869711133,8.371,328074.713655,4689358.20072,5,19,T
1582896835107298683,3149,1582896835094990968,,42.3374943083,-71.0869725867,8.386,328074.593371,4689358.2483,5,19,T
1582896835290027279,3150,1582896835287538051,,42.33749491,-71.086974055,8.423,328074.474044,4689358.31808,5,19,T
