%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582896098281707434,1,1582896098281188964,,42.3374407067,-71.08719606,15.093,328056.036709,4689352.74812,5,19,T
1582896098487699576,2,1582896098487313032,,42.33744052,-71.08719626,15.109,328056.019724,4689352.72779,5,19,T
1582896098675408846,3,1582896098674799919,,42.337440355,-71.0871964867,15.124,328056.0006,4689352.70993,5,19,T
1582896098879393623,4,1582896098879163980,,42.337440215,-71.087196685,15.138,328055.983879,4689352.69479,5,19,T
1582896099086573079,5,1582896099086195945,,42.3374400633,-71.0871968533,15.152,328055.969598,4689352.67829,5,19,T
1582896099273588136,6,1582896099273327112,,42.3374399733,-71.0871969667,15.159,328055.960016,4689352.66852,5,19,T
1582896099483795946,7,1582896099483386039,,42.337439845,-71.0871971267,15.167,328055.946485,4689352.65459,5,19,T
1582896099682169323,8,1582896099681957006,,42.3374397233,-71.0871972967,15.172,328055.932148,4689352.64143,5,19,T
1582896099879567271,9,1582896099879141092,,42.3374396,-71.0871975667,15.192,328055.909568,4689352.62828,5,19,T
1582896100083138703,10,1582896100082741022,,42.3374394583,-71.0871978133,15.212,328055.88886,4689352.61305,5,19,T
1582896100281923156,11,1582896100281714916,,42.33743928,-71.0871980517,15.241,328055.86874,4689352.59373,5,19,T
1582896100476776405,12,1582896100476383924,,42.33743918,-71.0871982633,15.261,328055.851029,4689352.58305,5,19,T
1582896100682168387,13,1582896100681782007,,42.3374390733,-71.087198395,15.255,328055.839891,4689352.57147,5,19,T
1582896100880882682,14,1582896100880489110,,42.337438965,-71.087198555,15.275,328055.826415,4689352.55976,5,19,T
1582896101081999157,15,1582896101081608057,,42.33743879,-71.0871987917,15.281,328055.80644,4689352.54081,5,19,T
1582896101276808676,16,1582896101276370048,,42.3374386517,-71.08719905,15.29,328055.784781,4689352.52597,5,19,T
