%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582823984531957567,1535,1582823984528093099,,42.3397129967,-71.0924873483,0.78,327626.329331,4689615.782,4,19,T
1582823985531760651,1536,1582823985528145074,,42.339712995,-71.0924873383,0.784,327626.33015,4689615.78179,4,19,T
1582823986533422386,1537,1582823986529540061,,42.3397130267,-71.0924873817,0.785,327626.326667,4689615.7854,4,19,T
1582823987531890430,1538,1582823987528206110,,42.3397130733,-71.0924874033,0.805,327626.325009,4689615.79062,4,19,T
1582823988533369429,1539,1582823988532670974,,42.33971302,-71.0924874,0.801,327626.325138,4689615.78469,4,19,T
1582823989530299685,1540,1582823989526696920,,42.3397130217,-71.0924874033,0.809,327626.324868,4689615.78489,4,19,T
1582823990531332315,1541,1582823990528078079,,42.3397130117,-71.0924874017,0.808,327626.324978,4689615.78377,4,19,T
1582823991532447488,1542,1582823991528626918,,42.3397129867,-71.0924874433,0.822,327626.321477,4689615.78108,4,19,T
1582823992531355257,1543,1582823992527657985,,42.3397130167,-71.09248742,0.829,327626.323482,4689615.78436,4,19,T
1582823993531882742,1544,1582823993527215957,,42.3397130217,-71.0924874233,0.818,327626.323221,4689615.78493,4,19,T
1582823994531251892,1545,1582823994527748107,,42.3397130317,-71.0924874317,0.825,327626.322561,4689615.78605,4,19,T
1582823995525535512,1546,1582823995524734973,,42.3397130383,-71.0924873833,0.815,327626.326561,4689615.7867,4,19,T
1582823996535051125,1547,1582823996531003952,,42.339713,-71.09248737,0.81,327626.327555,4689615.78241,4,19,T
1582823997525674894,1548,1582823997525099039,,42.3397130533,-71.09248742,0.819,327626.323582,4689615.78844,4,19,T
1582823998532890096,1549,1582823998531128883,,42.3397130267,-71.0924874367,0.838,327626.322136,4689615.78551,4,19,T
1582823999525719725,1550,1582823999525163888,,42.3397130683,-71.0924874333,0.838,327626.322524,4689615.79013,4,19,T
1582824000531250116,1551,1582824000527745008,,42.339713045,-71.09248739,0.819,327626.32603,4689615.78745,4,19,T
1582824001522992645,1552,1582824001522454023,,42.3397130317,-71.0924874117,0.814,327626.324209,4689615.78601,4,19,T
1582824002530703689,1553,1582824002527064085,,42.33971301,-71.0924873233,0.823,327626.331427,4689615.78343,4,19,T
1582824003633004435,1554,1582824003629220962,,42.3397130433,-71.0924872983,0.781,327626.333577,4689615.78708,4,19,T
1582824004729533197,1555,1582824004727982997,,42.3397110983,-71.092481675,0.961,327626.791518,4689615.5597,5,19,T
1582824005750730766,1556,1582824005733443975,,42.3397100417,-71.0924805117,0.976,327626.884467,4689615.44001,5,19,T
1582824006928763675,1557,1582824006927716016,,42.3397092783,-71.09247952,0.737,327626.964075,4689615.35323,5,19,T
1582824007932877400,1558,1582824007929092884,,42.3397089567,-71.0924787867,0.512,327627.023609,4689615.31603,5,19,T
1582824009127504574,1559,1582824009126823902,,42.3397261317,-71.0925264083,3.597,327623.147428,4689617.31973,5,19,T
1582824009931778066,1560,1582824009927839040,,42.33970943,-71.0924784867,0.594,327627.049616,4689615.36798,5,19,T
1582824010729896830,1561,1582824010726017951,,42.33970949,-71.0924773167,0.658,327627.146166,4689615.37227,5,19,T
1582824011829862019,1562,1582824011826102972,,42.3397092167,-71.0924745183,0.871,327627.375948,4689615.33625,5,19,T
1582824012832860192,1563,1582824012829442024,,42.3397105417,-71.09247636,1.088,327627.227851,4689615.48711,5,19,T
1582824013824350691,1564,1582824013823803901,,42.3397108183,-71.09247589,1.27,327627.267326,4689615.51688,5,19,T
1582824014628750281,1565,1582824014628148078,,42.3397114083,-71.0924751583,1.383,327627.329213,4689615.58091,5,19,T
1582824015631307616,1566,1582824015630795955,,42.339711935,-71.0924746483,1.424,327627.372667,4689615.63836,5,19,T
1582824016726421143,1567,1582824016725433111,,42.33971218,-71.09247374,1.458,327627.448165,4689615.66373,5,19,T
1582824017531791054,1568,1582824017527796030,,42.339712645,-71.0924728233,1.454,327627.524952,4689615.7135,5,19,T
1582824018533049772,1569,1582824018529232978,,42.3397129933,-71.0924723117,1.501,327627.568055,4689615.75114,5,19,T
1582824019524904986,1570,1582824019524317026,,42.339713355,-71.0924719017,1.527,327627.60282,4689615.79047,5,19,T
1582824020526205117,1571,1582824020525598049,,42.3397134217,-71.0924716283,1.482,327627.625519,4689615.79732,5,19,T
1582824021532796609,1572,1582824021530067920,,42.3397134583,-71.0924715767,1.461,327627.629876,4689615.80129,5,19,T
1582824022527948260,1573,1582824022527411937,,42.3397138717,-71.09247209,1.491,327627.588716,4689615.84823,5,19,T
1582824023534708837,1574,1582824023530836105,,42.3397138417,-71.0924725033,1.461,327627.554584,4689615.84573,5,19,T
1582824023728322232,1575,1582824023727513074,,42.3398152867,-71.0925125783,1.798,327624.530384,4689627.19168,5,19,T
1582824024932322019,1576,1582824024931797981,,42.3398167333,-71.0925140467,1.844,327624.413375,4689627.3553,5,19,T
1582824026143524002,1577,1582824026143323898,,42.339817995,-71.092515475,1.84,327624.299155,4689627.49829,5,19,T
1582824027232152955,1578,1582824027228472948,,42.3398195833,-71.0925169033,1.816,327624.185829,4689627.67756,5,19,T
1582824028428038498,1579,1582824028427838087,,42.3398207433,-71.0925182383,1.795,327624.07902,4689627.80907,5,19,T
1582824029631889823,1580,1582824029628117084,,42.3398223283,-71.092519475,1.774,327623.981474,4689627.98758,5,19,T
1582824030731580562,1581,1582824030727834939,,42.339824,-71.092520515,1.775,327623.900366,4689628.17532,5,19,T
1582824031832618947,1582,1582824031828080892,,42.3398253,-71.09252189,1.712,327623.790645,4689628.32246,5,19,T
1582824033028027723,1583,1582824033027795076,,42.3398266933,-71.09252325,1.789,327623.682415,4689628.47994,5,19,T
1582824034226280356,1584,1582824034225615978,,42.3398280567,-71.0925246633,1.832,327623.569709,4689628.63419,5,19,T
1582824035324620926,1585,1582824035324100971,,42.3398295683,-71.0925257633,1.798,327623.483221,4689628.80428,5,19,T
1582824036429717064,1586,1582824036428184032,,42.3398308367,-71.0925270867,1.792,327623.37767,4689628.9478,5,19,T
1582824037533077736,1587,1582824037529002904,,42.3398322267,-71.0925281333,1.829,327623.295243,4689629.10427,5,19,T
1582824038636346432,1588,1582824038632782936,,42.33983366,-71.0925291667,1.894,327623.214033,4689629.26553,5,19,T
1582824039729169539,1589,1582824039728058099,,42.3398350333,-71.0925300833,1.863,327623.14227,4689629.41988,5,19,T
1582824040828405285,1590,1582824040826782941,,42.3398364817,-71.0925310067,1.825,327623.070163,4689629.58258,5,19,T
1582824042040026250,1591,1582824042038908004,,42.3398378783,-71.0925320367,1.837,327622.989128,4689629.73976,5,19,T
1582824042232507926,1592,1582824042228913068,,42.33995217,-71.0926044217,1.365,327617.338334,4689642.57774,5,19,T
1582824043327177958,1593,1582824043326037883,,42.33995373,-71.0926056817,1.414,327617.238798,4689642.75352,5,19,T
1582824044542995770,1594,1582824044536025047,,42.339955195,-71.092606695,1.364,327617.159322,4689642.91825,5,19,T
1582824045735065113,1595,1582824045734554052,,42.3399566833,-71.09260796,1.365,327617.059178,4689643.08608,5,19,T
1582824046926048242,1596,1582824046925025939,,42.339958255,-71.0926091933,1.386,327616.961871,4689643.26311,5,19,T
1582824048132178656,1597,1582824048131639957,,42.3399597133,-71.09261021,1.383,327616.882102,4689643.4271,5,19,T
1582824049330962135,1598,1582824049327388048,,42.3399612567,-71.09261121,1.344,327616.803939,4689643.60051,5,19,T
1582824050532546918,1599,1582824050532334089,,42.33996287,-71.0926121633,1.312,327616.729812,4689643.78159,5,19,T
1582824051731052996,1600,1582824051727376937,,42.3399644,-71.092613205,1.341,327616.64818,4689643.95359,5,19,T
1582824052938230394,1601,1582824052937701940,,42.33996581,-71.0926143717,1.336,327616.555923,4689644.11253,5,19,T
1582824054128724504,1602,1582824054127876043,,42.3399673117,-71.0926156367,1.3,327616.455815,4689644.28184,5,19,T
1582824055336519898,1603,1582824055336040019,,42.3399688467,-71.092617,1.342,327616.347698,4689644.45506,5,19,T
1582824056527199743,1604,1582824056526133060,,42.3399702867,-71.0926181167,1.345,327616.259642,4689644.61722,5,19,T
1582824057726493744,1605,1582824057725934982,,42.3399717067,-71.0926192967,1.346,327616.166313,4689644.77729,5,19,T
1582824058728559832,1606,1582824058727288961,,42.3399733783,-71.0926204717,1.381,327616.074084,4689644.9653,5,19,T
1582824059727887695,1607,1582824059726608991,,42.3399749033,-71.0926217433,1.351,327615.973491,4689645.13722,5,19,T
1582824060725309704,1608,1582824060724244117,,42.3399763267,-71.09262308,1.307,327615.867266,4689645.29798,5,19,T
1582824061941723210,1609,1582824061941282987,,42.339977825,-71.0926246833,1.299,327615.739277,4689645.46761,5,19,T
1582824063131349752,1610,1582824063127839088,,42.3401145717,-71.09267069,1.131,327612.322934,4689660.74557,5,19,T
1582824064334170860,1611,1582824064333647012,,42.34011606,-71.0926693617,1.123,327612.43643,4689660.90815,5,19,T
1582824065524820027,1612,1582824065524013042,,42.3401177017,-71.0926678967,1.125,327612.561604,4689661.08747,5,19,T
1582824066729733508,1613,1582824066729279994,,42.3401191967,-71.092666885,1.112,327612.649031,4689661.25143,5,19,T
1582824067925190019,1614,1582824067924402952,,42.34012084,-71.0926657067,1.092,327612.750594,4689661.43152,5,19,T
1582824069129229852,1615,1582824069129040002,,42.3401225833,-71.0926646833,1.094,327612.83966,4689661.62303,5,19,T
1582824070330969591,1616,1582824070327306985,,42.3401241883,-71.0926636967,1.09,327612.925329,4689661.79925,5,19,T
1582824071534839135,1617,1582824071534277915,,42.340125745,-71.0926626133,1.06,327613.018828,4689661.96991,5,19,T
1582824072724191673,1618,1582824072723182916,,42.3401273367,-71.09266142,1.055,327613.121485,4689662.14423,5,19,T
1582824073942887744,1619,1582824073942327976,,42.340128695,-71.0926603817,1.064,327613.210735,4689662.29296,5,19,T
1582824075132114120,1620,1582824075127583980,,42.3401303017,-71.09265938,1.03,327613.297644,4689662.46934,5,19,T
1582824076331279582,1621,1582824076330738067,,42.3401320467,-71.09265864,1.018,327613.363374,4689662.66161,5,19,T
1582824077525800621,1622,1582824077524888038,,42.3401336067,-71.0926578567,1.014,327613.432169,4689662.83325,5,19,T
1582824078729380304,1623,1582824078728857994,,42.340135295,-71.0926570867,0.998,327613.500215,4689663.01916,5,19,T
1582824079926248160,1624,1582824079925337076,,42.340136945,-71.0926562983,0.994,327613.569668,4689663.20078,5,19,T
1582824081133086713,1625,1582824081132953882,,42.3401386317,-71.092655305,0.992,327613.656108,4689663.38606,5,19,T
1582824082328199275,1626,1582824082327400922,,42.340140085,-71.092654505,0.954,327613.725984,4689663.54582,5,19,T
