%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582821776835761891,978,1582821776824207067,,42.339708495,-71.0924726717,4.992,327627.526106,4689615.25237,5,19,T
1582821777625690997,979,1582821777621843099,,42.3397086167,-71.092472745,4.994,327627.520397,4689615.26603,5,19,T
1582821778421548581,980,1582821778417958974,,42.3397085183,-71.092472735,5.005,327627.520952,4689615.25509,5,19,T
1582821779224906236,981,1582821779221282005,,42.3397085367,-71.0924727817,5.021,327627.517158,4689615.25722,5,19,T
1582821780023852022,982,1582821780020338058,,42.33970851,-71.0924727383,4.999,327627.520655,4689615.25417,5,19,T
1582821780823044128,983,1582821780819360017,,42.33970855,-71.0924727033,4.993,327627.523648,4689615.25854,5,19,T
1582821781640973101,984,1582821781625444889,,42.33970847,-71.0924727883,5.014,327627.516427,4689615.24983,5,19,T
1582821782424253751,985,1582821782420613050,,42.3397084283,-71.09247287,5.026,327627.509585,4689615.24537,5,19,T
1582821783226626768,986,1582821783222513914,,42.33970845,-71.0924729183,5.035,327627.505663,4689615.24787,5,19,T
1582821784024692566,987,1582821784020961999,,42.33970842,-71.0924729633,5.038,327627.501873,4689615.24463,5,19,T
1582821784824007741,988,1582821784820405960,,42.3397083967,-71.0924729183,5.029,327627.505517,4689615.24195,5,19,T
1582821785624926687,989,1582821785621381044,,42.3397083517,-71.0924729317,5.052,327627.504295,4689615.23698,5,19,T
1582821786423765261,990,1582821786420077085,,42.3397083567,-71.09247289,5.038,327627.507742,4689615.23745,5,19,T
1582821787225059660,991,1582821787221342086,,42.33970829,-71.09247291,5.048,327627.505912,4689615.23009,5,19,T
1582821788035500998,992,1582821788023725986,,42.339708315,-71.092472945,5.041,327627.503097,4689615.23293,5,19,T
1582821788824865891,993,1582821788820986986,,42.3397082783,-71.0924729567,5.032,327627.502035,4689615.22889,5,19,T
1582821789624195094,994,1582821789620475053,,42.3397082467,-71.0924730333,5.045,327627.495633,4689615.22553,5,19,T
1582821790424253081,995,1582821790420732975,,42.3397082433,-71.09247316,5.044,327627.485189,4689615.22541,5,19,T
1582821791224232780,996,1582821791220195055,,42.339708255,-71.0924731233,5.034,327627.488242,4689615.22663,5,19,T
1582821792024586619,997,1582821792020838975,,42.339708225,-71.0924731417,5.025,327627.486649,4689615.22334,5,19,T
1582821792824140531,998,1582821792820534944,,42.3397081783,-71.092473225,5.041,327627.479657,4689615.21833,5,19,T
1582821793625849891,999,1582821793621933937,,42.33970815,-71.0924732517,5.059,327627.477382,4689615.21523,5,19,T
1582821794424413823,1000,1582821794420748949,,42.3397081567,-71.0924732467,5.041,327627.477813,4689615.21596,5,19,T
1582821795224517366,1001,1582821795220715045,,42.3397081033,-71.09247329,5.036,327627.474097,4689615.21013,5,19,T
1582821796023381668,1002,1582821796019825935,,42.3397081417,-71.09247339,5.038,327627.465964,4689615.21459,5,19,T
1582821796823746891,1003,1582821796820197105,,42.3397080883,-71.0924735417,5.053,327627.453323,4689615.20897,5,19,T
1582821797624864225,1004,1582821797621021032,,42.339707915,-71.0924783283,5.472,327627.05852,4689615.19943,4,19,T
1582821798625874687,1005,1582821798622246026,,42.3397079033,-71.0924782983,5.47,327627.06096,4689615.19807,4,19,T
1582821799625422788,1006,1582821799621609926,,42.3397078983,-71.09247832,5.456,327627.059161,4689615.19756,4,19,T
1582821800624855474,1007,1582821800620966911,,42.339707825,-71.0924782917,5.475,327627.061295,4689615.18936,4,19,T
1582821801625630130,1008,1582821801621642112,,42.33970786,-71.092478215,5.454,327627.067706,4689615.19309,4,19,T
1582821802623923878,1009,1582821802619904041,,42.33970793,-71.0924782017,5.467,327627.068996,4689615.20084,4,19,T
1582821803624576735,1010,1582821803620726108,,42.3397078733,-71.0924782333,5.459,327627.066232,4689615.19461,4,19,T
1582821804622506835,1011,1582821804618839979,,42.3397078767,-71.092478215,5.467,327627.067752,4689615.19494,4,19,T
1582821805624238223,1012,1582821805619766950,,42.339707895,-71.0924781617,5.459,327627.072196,4689615.19687,4,19,T
1582821806624036628,1013,1582821806620273113,,42.33970788,-71.0924782217,5.475,327627.067212,4689615.19533,4,19,T
1582821807622450376,1014,1582821807618805885,,42.3397078817,-71.0924782467,5.496,327627.065157,4689615.19556,4,19,T
1582821808624065621,1015,1582821808620299100,,42.33970791,-71.0924782883,5.488,327627.061802,4689615.19879,4,19,T
1582821809623941929,1016,1582821809620182991,,42.3397079083,-71.0924782583,5.48,327627.064269,4689615.19855,4,19,T
1582821810623427277,1017,1582821810619566917,,42.339707945,-71.092478195,5.493,327627.069586,4689615.20249,4,19,T
1582821811622218925,1018,1582821811618518114,,42.3397077967,-71.0924782783,5.504,327627.062316,4689615.18619,4,19,T
1582821812624813331,1019,1582821812620901107,,42.3397078283,-71.092478265,5.481,327627.063501,4689615.18968,4,19,T
1582821813625737267,1020,1582821813621562957,,42.33970784,-71.0924782417,5.468,327627.065455,4689615.19093,4,19,T
1582821814625861745,1021,1582821814620582103,,42.33970782,-71.0924782433,5.492,327627.065263,4689615.18871,4,19,T
1582821815621520360,1022,1582821815617769002,,42.33970787,-71.09247826,5.484,327627.064026,4689615.1943,4,19,T
1582821816624737036,1023,1582821816621114969,,42.3397078717,-71.0924782733,5.493,327627.062933,4689615.19451,4,19,T
1582821817635561988,1024,1582821817623924970,,42.33970785,-71.0924782467,5.493,327627.06507,4689615.19205,4,19,T
1582821818725287953,1025,1582821818721740961,,42.33970783,-71.0924782767,5.488,327627.062544,4689615.18989,4,19,T
1582821819824237078,1026,1582821819823441028,,42.3397078817,-71.0924782267,5.482,327627.066804,4689615.19552,4,19,T
1582821820925099520,1027,1582821820921389102,,42.33970786,-71.0924783167,5.513,327627.059331,4689615.1933,4,19,T
1582821822023467419,1028,1582821822019725084,,42.33970785,-71.0924782783,5.515,327627.062462,4689615.19211,4,19,T
1582821823124843312,1029,1582821823123347997,,42.3397078667,-71.0924782717,5.49,327627.063056,4689615.19395,4,19,T
1582821824221122354,1030,1582821824219611883,,42.3397078883,-71.0924782717,5.499,327627.063115,4689615.19636,4,19,T
1582821825325264143,1031,1582821825321441888,,42.339707855,-71.0924782533,5.497,327627.064535,4689615.19262,4,19,T
1582821826424877140,1032,1582821826421161890,,42.33970789,-71.092478285,5.496,327627.062022,4689615.19657,4,19,T
1582821827524542642,1033,1582821827520890951,,42.3397078433,-71.09247827,5.505,327627.06313,4689615.19135,4,19,T
1582821828637038128,1034,1582821828624960899,,42.3397078333,-71.09247827,5.495,327627.063102,4689615.19024,4,19,T
1582821829720102976,1035,1582821829719621896,,42.3397078433,-71.0924782583,5.506,327627.064091,4689615.19133,4,19,T
1582821830825570659,1036,1582821830822043895,,42.33970785,-71.0924782467,5.512,327627.06507,4689615.19205,4,19,T
1582821831924000930,1037,1582821831920344114,,42.3397078483,-71.0924782967,5.527,327627.060947,4689615.19196,4,19,T
1582821833025901885,1038,1582821833022166013,,42.33970785,-71.09247829,5.535,327627.0615,4689615.19214,4,19,T
