%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582897548730026397,6480,1582897548720839977,,42.3400243167,-71.09265749,1.116,327613.163702,4689650.69667,5,19,T
1582897548927916125,6481,1582897548927402973,,42.340024305,-71.09265747,1.116,327613.165317,4689650.69534,5,19,T
1582897549133441924,6482,1582897549122891902,,42.3400243517,-71.0926575717,1.139,327613.157069,4689650.70072,5,19,T
1582897549334508535,6483,1582897549322432994,,42.3400244517,-71.092657545,1.171,327613.15954,4689650.71177,5,19,T
1582897549542729927,6484,1582897549524554967,,42.3400245783,-71.0926574417,1.192,327613.168398,4689650.72563,5,19,T
1582897549721775126,6485,1582897549721220016,,42.3400247583,-71.0926574117,1.208,327613.171362,4689650.74556,5,19,T
1582897549924286835,6486,1582897549923160076,,42.34002489,-71.09265736,1.219,327613.175978,4689650.76007,5,19,T
1582897550135730358,6487,1582897550125344991,,42.3400250317,-71.0926573483,1.25,327613.177326,4689650.77578,5,19,T
1582897550327673977,6488,1582897550315157890,,42.34002503,-71.0926573833,1.266,327613.174438,4689650.77567,5,19,T
1582897550518587146,6489,1582897550514293909,,42.340025085,-71.09265766,1.275,327613.151797,4689650.78233,5,19,T
1582897550738840891,6490,1582897550726350069,,42.3400252,-71.0926577583,1.309,327613.14401,4689650.7953,5,19,T
1582897550937789956,6491,1582897550928364038,,42.340025495,-71.092657885,1.336,327613.134382,4689650.82832,5,19,T
1582897551148816277,6492,1582897551146621942,,42.340025775,-71.0926577367,1.345,327613.147366,4689650.85911,5,19,T
1582897551332154085,6493,1582897551326339006,,42.3400257367,-71.0926577617,1.333,327613.145202,4689650.8549,5,19,T
1582897551518020712,6494,1582897551514765024,,42.3400256617,-71.0926579333,1.356,327613.130855,4689650.84692,5,19,T
1582897551728450310,6495,1582897551727755069,,42.3400257417,-71.0926579733,1.316,327613.127779,4689650.85589,5,19,T
1582897551932793210,6496,1582897551920767068,,42.3400258483,-71.09265829,1.283,327613.101983,4689650.86837,5,19,T
1582897552121088892,6497,1582897552120210886,,42.3400258467,-71.0926583733,1.248,327613.095113,4689650.86836,5,19,T
1582897552330252541,6498,1582897552326566934,,42.3400259133,-71.0926582667,1.229,327613.104083,4689650.87555,5,19,T
