%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.fix,field.zone_num,field.zone_letter
1582896914757446417,3399,1582896914756900072,,42.340035885,-71.092664325,2.924,327612.632246,4689651.99511,5,19,T
1582896914967815368,3400,1582896914961745023,,42.3400358967,-71.09266431,2.921,327612.633513,4689651.99637,5,19,T
1582896915162730605,3401,1582896915160021066,,42.3400358917,-71.0926643033,2.926,327612.634049,4689651.9958,5,19,T
1582896915382030405,3402,1582896915380853891,,42.3400359867,-71.09266362,2.924,327612.690602,4689652.00497,5,19,T
1582896915570050376,3403,1582896915565023899,,42.3400359333,-71.0926640167,2.931,327612.657779,4689651.99985,5,19,T
1582896915758001610,3404,1582896915757436990,,42.340035935,-71.092663895,2.926,327612.667806,4689651.99979,5,19,T
1582896915958499641,3405,1582896915957652091,,42.3400359617,-71.09266383,2.936,327612.673234,4689652.00262,5,19,T
1582896916164119969,3406,1582896916158582925,,42.3400359733,-71.09266368,2.927,327612.685623,4689652.00361,5,19,T
1582896916354736662,3407,1582896916353862047,,42.340035965,-71.0926635667,2.937,327612.694936,4689652.00245,5,19,T
1582896916558407278,3408,1582896916557523965,,42.340035995,-71.0926634517,2.939,327612.704492,4689652.00555,5,19,T
1582896916764469658,3409,1582896916760658979,,42.3400358617,-71.0926640333,2.904,327612.65621,4689651.99192,5,19,T
1582896916959622460,3410,1582896916958825111,,42.3400358567,-71.09266404,2.892,327612.655647,4689651.99138,5,19,T
1582896917163024747,3411,1582896917159169912,,42.3400358933,-71.0926639833,2.888,327612.660415,4689651.99534,5,19,T
1582896917377266956,3412,1582896917364501953,,42.3400358683,-71.0926639833,2.887,327612.660347,4689651.99256,5,19,T
1582896917586346405,3413,1582896917573323011,,42.3400359083,-71.0926638667,2.864,327612.670067,4689651.99677,5,19,T
1582896917779392897,3414,1582896917767117023,,42.3400359167,-71.09266382,2.86,327612.673934,4689651.9976,5,19,T
1582896917974115705,3415,1582896917961718082,,42.340035945,-71.0926637683,2.853,327612.678268,4689652.00064,5,19,T
1582896918160522885,3416,1582896918156949996,,42.3400359283,-71.0926637683,2.862,327612.678223,4689651.99879,5,19,T
1582896918371013881,3417,1582896918356353998,,42.34003593,-71.09266378,2.853,327612.677266,4689651.999,5,19,T
1582896918564866127,3418,1582896918561527967,,42.340035965,-71.0926636933,2.847,327612.684501,4689652.00271,5,19,T
1582896918772979506,3419,1582896918761042118,,42.340036005,-71.0926636533,2.848,327612.687906,4689652.00707,5,19,T
1582896918959885805,3420,1582896918956284046,,42.3400359783,-71.0926636367,2.84,327612.689206,4689652.00407,5,19,T
1582896919174113203,3421,1582896919161976099,,42.34003595,-71.0926636067,2.836,327612.6916,4689652.00087,5,19,T
1582896919373202079,3422,1582896919361048936,,42.3400360467,-71.09266357,2.827,327612.694885,4689652.01153,5,19,T
1582896919588450000,3423,1582896919576338052,,42.3400360667,-71.0926635333,2.831,327612.69796,4689652.01367,5,19,T
1582896919761249152,3424,1582896919759422063,,42.3400360783,-71.09266348,2.825,327612.702386,4689652.01486,5,19,T
1582896919953322167,3425,1582896919952692985,,42.3400360917,-71.0926634217,2.818,327612.707228,4689652.01622,5,19,T
1582896920159051923,3426,1582896920158497095,,42.3400361,-71.092663375,2.815,327612.711095,4689652.01705,5,19,T
1582896920368894359,3427,1582896920367693901,,42.340036095,-71.0926633767,2.818,327612.710944,4689652.0165,5,19,T
1582896920570676436,3428,1582896920569031000,,42.340036125,-71.0926633167,2.805,327612.715969,4689652.01971,5,19,T
1582896920754017067,3429,1582896920753395080,,42.3400361333,-71.0926632833,2.802,327612.718737,4689652.02057,5,19,T
1582896920975404427,3430,1582896920963311910,,42.3400361383,-71.09266327,2.8,327612.719849,4689652.0211,5,19,T
1582896921174963267,3431,1582896921162945985,,42.34003611,-71.0926632617,2.796,327612.720459,4689652.01794,5,19,T
1582896921368609522,3432,1582896921363523006,,42.3400361317,-71.0926632883,2.797,327612.718321,4689652.0204,5,19,T
1582896921571171081,3433,1582896921567491054,,42.3400361183,-71.0926632217,2.801,327612.723777,4689652.01878,5,19,T
1582896921760371939,3434,1582896921759797096,,42.3400360983,-71.0926632383,2.794,327612.722349,4689652.01659,5,19,T
1582896921967976868,3435,1582896921963021993,,42.3400360867,-71.0926631833,2.795,327612.726848,4689652.01519,5,19,T
1582896922178891199,3436,1582896922163105010,,42.340036115,-71.0926631533,2.794,327612.729397,4689652.01827,5,19,T
1582896922364221434,3437,1582896922363428115,,42.3400361133,-71.0926631333,2.793,327612.73104,4689652.01804,5,19,T
1582896922569318741,3438,1582896922565653085,,42.340036185,-71.0926631183,2.79,327612.732471,4689652.02597,5,19,T
1582896922765224704,3439,1582896922761583089,,42.3400361467,-71.0926631033,2.792,327612.733602,4689652.02169,5,19,T
1582896922962395980,3440,1582896922960797071,,42.3400361433,-71.09266309,2.793,327612.734692,4689652.02129,5,19,T
1582896923157146905,3441,1582896923156316995,,42.34003616,-71.092663065,2.784,327612.736797,4689652.02309,5,19,T
1582896923358346658,3442,1582896923357063055,,42.34003612,-71.0926629933,2.792,327612.742591,4689652.0185,5,19,T
1582896923568378558,3443,1582896923567514896,,42.34003612,-71.092662975,2.794,327612.744102,4689652.01846,5,19,T
1582896923762724682,3444,1582896923761924982,,42.3400361183,-71.092662995,2.79,327612.742449,4689652.01832,5,19,T
1582896923956914340,3445,1582896923956119060,,42.3400361,-71.092662975,2.786,327612.744047,4689652.01624,5,19,T
1582896924157312689,3446,1582896924156234025,,42.3400361033,-71.0926629283,2.79,327612.7479,4689652.01652,5,19,T
1582896924359936378,3447,1582896924358753919,,42.3400360833,-71.0926630117,2.786,327612.740981,4689652.01447,5,19,T
1582896924556965192,3448,1582896924555983066,,42.3400360933,-71.0926629933,2.79,327612.742518,4689652.01554,5,19,T
1582896924753901088,3449,1582896924752746105,,42.340036055,-71.0926630067,2.795,327612.741315,4689652.01131,5,19,T
1582896924962004146,3450,1582896924960388898,,42.34003606,-71.0926629817,2.797,327612.743388,4689652.01182,5,19,T
1582896925161441651,3451,1582896925159951925,,42.340036065,-71.0926629217,2.791,327612.748345,4689652.01225,5,19,T
1582896925359688807,3452,1582896925357371091,,42.3400360733,-71.0926628817,2.794,327612.751663,4689652.01309,5,19,T
1582896925565208608,3453,1582896925564441919,,42.3400361017,-71.0926628617,2.786,327612.753388,4689652.0162,5,19,T
1582896925774599932,3454,1582896925764313936,,42.340036065,-71.0926628167,2.787,327612.756995,4689652.01204,5,19,T
